OTEX,Open Text Corporation,OTEX
RPM,RPM International Inc.,RPM
NTAP,"NetApp, Inc.",NTAP
GGG,Graco Inc.,GGG
ON,ON Semiconductor Corporation,ON
LII,"Lennox International, Inc.",LII
UDR,"UDR, Inc.",UDR
MRTX,"Mirati Therapeutics, Inc.",MRTX
SAM,"Boston Beer Company, Inc. (The)",SAM
UHS,"Universal Health Services, Inc.",UHS
NUAN,"Nuance Communications, Inc.",NUAN
ALLY,Ally Financial Inc.,ALLY
MTN,"Vail Resorts, Inc.",MTN
IHG,Intercontinental Hotels Group,IHG
ELS,"Equity Lifestyle Properties, In",ELS
NLOK,NortonLifeLock Inc.,NLOK
NLY,Annaly Capital Management Inc,NLY
EQH,"Equitable Holdings, Inc.",EQH
WRK,Westrock Company,WRK
PENN,"PENN Entertainment, Inc.",PENN
OSH,"Oak Street Health, Inc.",OSH
CEA,China Eastern Airlines Corporat,CEA
ASX,"ASE Technology Holding Co., Ltd",ASX
GH,"Guardant Health, Inc.",GH
QGEN,Qiagen N.V.,QGEN
XRAY,DENTSPLY SIRONA Inc.,XRAY
LUMN,"Lumen Technologies, Inc.",LUMN
LKQ,LKQ Corporation,LKQ
IPGP,IPG Photonics Corporation,IPGP
WYNN,"Wynn Resorts, Limited",WYNN
BAP,Credicorp Ltd.,BAP
SRPT,"Sarepta Therapeutics, Inc.",SRPT
WTRG,"Essential Utilities, Inc.",WTRG
RDY,Dr. Reddy's Laboratories Ltd,RDY
ALLE,Allegion plc,ALLE
PCTY,Paylocity Holding Corporation,PCTY
FNF,FNF Group of Fidelity National ,FNF
LW,"Lamb Weston Holdings, Inc.",LW
TXT,Textron Inc.,TXT
NWSA,News Corporation,NWSA
OLED,Universal Display Corporation,OLED
BEN,"Franklin Resources, Inc.",BEN
MPW,"Medical Properties Trust, Inc.",MPW
WB,Weibo Corporation,WB
BEP,Brookfield Renewable Partners L,BEP
PEGA,Pegasystems Inc.,PEGA
APO,"Apollo Global Management, Inc. ",APO
HWM,Howmet Aerospace Inc.,HWM
TEVA,Teva Pharmaceutical Industries ,TEVA
HST,Host Hotels,HST
