AAPL,Apple Inc.,AAPL
MSFT,Microsoft Corporation,MSFT
AMZN,"Amazon.com, Inc.",AMZN
GOOG,Alphabet Inc.,GOOG
FB,"Meta Platforms, Inc.",FB
BABA,Alibaba Group Holding Limited,BABA
BRK-A,Berkshire Hathaway Inc.,BRK-A
TSLA,"Tesla, Inc.",TSLA
V,Visa Inc.,V
TSM,Taiwan Semiconductor Manufactur,TSM
WMT,Walmart Inc.,WMT
JNJ,Johnson & Johnson,JNJ
JPM,JP Morgan Chase & Co.,JPM
PG,Procter & Gamble Company (The),PG
MA,Mastercard Incorporated,MA
NVDA,NVIDIA Corporation,NVDA
SPY,SPDR S&P 500,SPY
UNH,UnitedHealth Group Incorporated,UNH
HD,"Home Depot, Inc. (The)",HD
DIS,Walt Disney Company (The),DIS
VZ,Verizon Communications Inc.,VZ
CRM,"Salesforce, Inc.",CRM
BAC,Bank of America Corporation,BAC
KO,Coca-Cola Company (The),KO
CMCSA,Comcast Corporation,CMCSA
ADBE,Adobe Inc.,ADBE
PYPL,"PayPal Holdings, Inc.",PYPL
NFLX,"Netflix, Inc.",NFLX
NKE,"Nike, Inc.",NKE
MRK,"Merck & Company, Inc.",MRK
T,AT&T Inc.,T
PFE,"Pfizer, Inc.",PFE
ORCL,Oracle Corporation,ORCL
PEP,"Pepsico, Inc.",PEP
NVS,Novartis AG,NVS
ABT,Abbott Laboratories,ABT
TM,Toyota Motor Corporation,TM
INTC,Intel Corporation,INTC
TMO,Thermo Fisher Scientific Inc,TMO
ASML,ASML Holding N.V. - New York Re,ASML
ABBV,AbbVie Inc.,ABBV
CSCO,"Cisco Systems, Inc.",CSCO
ORCL,Oracle Corporation,ORCL
COST,Costco Wholesale Corporation,COST
QCOM,QUALCOMM Incorporated,QCOM
CVX,Chevron Corporation,CVX
PDD,Pinduoduo Inc.,PDD
DHR,Danaher Corporation,DHR
TMUS,"T-Mobile US, Inc.",TMUS
MCD,McDonald's Corporation,MCD
XOM,Exxon Mobil Corporation,XOM
AVGO,Broadcom Inc.,AVGO
NVO,Novo Nordisk A/S,NVO
UL,Unilever PLC,UL
ACN,Accenture plc,ACN
LFC,China Life Insurance Company Li,LFC
MDT,Medtronic plc.,MDT
NEE,"NextEra Energy, Inc.",NEE
TXN,Texas Instruments Incorporated,TXN
UPS,"United Parcel Service, Inc.",UPS
HON,Honeywell International Inc.,HON
AZN,Astrazeneca PLC,AZN
SAP,SAP  SE,SAP
BMY,Bristol-Myers Squibb Company,BMY
UNP,Union Pacific Corporation,UNP
LLY,Eli Lilly and Company,LLY
BHP,BHP Group Limited,BHP
JD,"JD.com, Inc.",JD
LIN,Linde plc,LIN
AMGN,Amgen Inc.,AMGN
CHTR,"Charter Communications, Inc.",CHTR
BUD,Anheuser-Busch Inbev SA Sponsor,BUD
SNY,Sanofi,SNY
PM,Philip Morris International Inc,PM
ZM,"Zoom Video Communications, Inc.",ZM
SHOP,Shopify Inc.,SHOP
QQQ,"Invesco QQQ Trust, Series 1",QQQ
SBUX,Starbucks Corporation,SBUX
LOW,"Lowe's Companies, Inc.",LOW
RY,Royal Bank Of Canada,RY
BA,Boeing Company (The),BA
PTR,PetroChina Company Limited,PTR
C,"Citigroup, Inc.",C
WFC,Wells Fargo & Company,WFC
RTX,Raytheon Technologies Corporati,RTX
MS,Morgan Stanley,MS
AMT,American Tower Corporation (REI,AMT
LMT,Lockheed Martin Corporation,LMT
HSBC,"HSBC Holdings, plc.",HSBC
IBM,International Business Machines,IBM
HDB,HDFC Bank Limited,HDB
